Equity Portfolio,,,,,,,,,,,,,,,,,,,,,,,
Main,Stats,Has to be same,,,,,,,,,,,,,,,,,,,,,
CBOE MKT VOLATILITY IDX,17.76%,,,,,,,,,,,,,,,,,,,,,,
Portfolio," $80,000.00 ",,,,,,,,,,,,,,,,,,,,,,
Number of stocks with option exposure, 4 ,,,,,,,,,,,,,,,,,,,,,,
Total Option exposure," $30,447.34 ",,,,,,,,,,,,,,,,,,,,,,
Option Trade profit ," $25,969.01 ",,,,,,,,,,,,,,,,,,,,,,
Total Exposure," $159,963.28 "," $159,963.28 ",,,,,,,,,,,,,,,,,,,,,
Stock Exposure," $129,515.94 "," $129,515.94 ",,,,,,,,,,,,,,,,,,,,,
Delta Exposure," $30,447.34 "," $30,447.34 ",,,,,,,,,,,,,,,,,,,,,
Realized:," $12,618.15 ",,,,,,,,,,,,,,,,,,,,,,
Unrealized:," $24,459.32 ",,,,,,,,,,,,,,,,,,,,,,
Option Long exposure," $30,447.34 ",,,,,,,,,,,,,,,,,,,,,,
Option Short Exposure, $-   ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Assets,Ticker,Primary theme,Secondary theme,Beta,Instrument type,Price,Ave Entry, Realized Profit ,Unrealized profit percentage,Unrealized Profit,Price Change,Realized from option, Option Exposure ,Perc of Op Exp,Num of Stocks, Stock Exposure , Combined Exposure ,Cost of current position,Percentage of portfolio,,,,
ALPHABET INC. (XNAS:GOOG),GOOG,AI,Technology,1.09,Stock, $323.10 , $197.47 , $31.66 ,64%," $2,889.42 ",-2.4839%," $4,148.03 ", $-   ,0.0%,23.00," $7,431.30 "," $7,431.30 "," $4,541.88 ",4.65%,,,,
HUT 8 CORP. (XNAS:HUT),HUT,Bitcoin mining,AI,4.19,Stock, $53.06 , $27.23 ," $(2,824.94)",95%," $2,867.47 ",19.2896%, $(390.00), $-   ,0.0000%,111.00," $5,889.66 "," $5,889.66 "," $3,022.19 ",3.68%,,,,
"MARA HOLDINGS, INC. (XNAS:MARA)",MARA,Bitcoin mining,AI,5.54,Stock, $8.24 , $10.46 , $-   ,-21%," $(1,299.78)",22.4368%, $-   , $-   ,0.0000%,586.00," $4,828.64 "," $4,828.64 "," $6,128.42 ",3.02%,,,,
