1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Assets,Date,Ticker, Price ,Number of stocks, Bought , Bought Amount ,Total number bought,Total Amount bought,Sold,Sold Amount,Total Sold number of stocks,Total sold amount,Average sell price, Average buy price , Realized Profit , Current Amount 
"EOG RESOURCES, INC. (XNYS:EOG)",8-Apr-24,EOG, $135.42 ,1.00, 1.00 , 135.42 ,5,595.38,0.00, $-   ,5.00, $575.32 , $115.06 , $119.08 , $(20.06), -   
EXXON MOBIL CORPORATION (XNYS:XOM),10-Jun-24,XOM, $104.61 ,16.00, 16.00 ," 1,673.76 ",21,2275.41,0.00, $-   ,21.00," $2,458.71 ", $117.08 , $108.35 , $183.30 , -   
SOUTHWESTERN ENERGY COMPANY (XNYS:SWN),1-Jul-24,SWN, $6.87 ,250.18, 250.18 ," 1,718.74 ",250.180722,1718.74156,0.00, $-   ,250.18," $1,639.63 ", $6.55 , $6.87 , $(79.11), 0.00 
SOUTHWESTERN ENERGY COMPANY (XNYS:SWN),1-Jul-24,SWN, $6.75 ,-150.00, -   , -   ,250.180722,1718.74156,-150.00," $(1,012.50)",250.18," $1,639.63 ", $6.55 , $6.87 , $(79.11), 0.00 
"SHOALS TECHNOLOGIES GROUP, INC. (XNAS:SHLS)",1-Jul-24,SHLS, $7.03 ,50.00, 50.00 , 351.50 ,70,475.3,0.00, $-   ,70.00, $441.90 , $6.31 , $6.79 , $(33.40), -   
"SHOALS TECHNOLOGIES GROUP, INC. (XNAS:SHLS)",1-Jul-24,SHLS, $6.23 ,-50.00, -   , -   ,70,475.3,-50.00, $(311.50),70.00, $441.90 , $6.31 , $6.79 , $(33.40), -   
"SHOALS TECHNOLOGIES GROUP, INC. (XNAS:SHLS)",1-Jul-24,SHLS, $6.19 ,20.00, 20.00 , 123.80 ,70,475.3,0.00, $-   ,70.00, $441.90 , $6.31 , $6.79 , $(33.40), -   
GAMESTOP CORP. (XNYS:GME),1-Jul-24,GME, $30.75 ,40.00, 40.00 ," 1,230.00 ",207,5127.27,0.00, $-   ,181.00," $4,186.98 ", $23.13 , $24.77 , $(296.29), 26.00 
GAMESTOP CORP. (XNYS:GME),1-Jul-24,GME, $23.11 ,-40.00, -   , -   ,207,5127.27,-40.00, $(924.40),181.00," $4,186.98 ", $23.13 , $24.77 , $(296.29), 26.00 
CELESTICA INC. (XNYS:CLS),24-May-24,CLS, $61.71 ,10.00, 10.00 , 617.10 ,25,1806.25,0.00, $-   ,25.00," $2,255.60 ", $90.22 , $72.25 , $449.35 , -   
CELESTICA INC. (XNYS:CLS),1-Jul-24,CLS, $56.59 ,-10.00, -   , -   ,25,1806.25,-10.00, $(565.90),25.00," $2,255.60 ", $90.22 , $72.25 , $449.35 , -   
Biontech SE (XNAS:BNTX),6-Jun-24,BNTX, $107.86 ,5.00, 5.00 , 539.30 ,5,539.3,0.00, $-   ,5.00, $405.40 , $81.08 , $107.86 , $(133.90), -   
Biontech SE (XNAS:BNTX),1-Jul-24,BNTX, $81.08 ,-5.00, -   , -   ,5,539.3,-5.00, $(405.40),5.00, $405.40 , $81.08 , $107.86 , $(133.90), -   
CureVac NV (XNAS:CVAC),6-Jun-24,CVAC, $4.99 ,100.00, 100.00 , 499.00 ,100,499,0.00, $-   ,100.00, $347.00 , $3.47 , $4.99 , $(152.00), -   
CureVac NV (XNAS:CVAC),1-Jul-24,CVAC, $3.47 ,-100.00, -   , -   ,100,499,-100.00, $(347.00),100.00, $347.00 , $3.47 , $4.99 , $(152.00), -   
"DXP ENTERPRISES, INC. (XNAS:DXPE)",1-Jul-24,DXPE, $45.06 ,2.00, 2.00 , 90.12 ,6,448.08,0.00, $-   ,6.00, $522.72 , $87.12 , $74.68 , $74.64 , -   
ASP ISOTOPES INC. (XNAS:ASPI),1-Jul-24,ASPI, $3.73 ,619.00, 619.00 ," 2,308.87 ",1599,6817.87,0.00, $-   ,1499.00," $8,055.17 ", $5.37 , $4.26 ," $1,663.68 ", 100.00 
ELBIT SYSTEMS LTD (XNAS:ESLT),1-Jul-24,ESLT, $177.72 ,1.00, 1.00 , 177.72 ,2,635.72,0.00, $-   ,2.00, $637.45 , $318.73 , $317.86 , $1.73 , -   
"AXON ENTERPRISE, INC. (XNAS:AXON)",1-Jul-24,AXON, $288.36 ,1.00, 1.00 , 288.36 ,5,1437.69,0.00, $-   ,5.00," $1,963.10 ", $392.62 , $287.54 , $525.41 , -   
"ALPHA METALLURGICAL RESOURCES, INC. (XNYS:AMR)",1-Jul-24,AMR, $321.59 ,1.00, 1.00 , 321.59 ,1,321.59,0.00, $-   ,1.00, $291.00 , $291.00 , $321.59 , $(30.59), -   
"APOGEE ENTERPRISES, INC. (XNAS:APOG)",1-Jul-24,APOG, $61.95 ,2.00, 2.00 , 123.90 ,2,123.9,0.00, $-   ,2.00, $136.30 , $68.15 , $61.95 , $12.40 , -   
NUCOR CORPORATION (XNYS:NUE),1-Jul-24,NUE, $155.52 ,2.00, 2.00 , 311.04 ,2,311.04,0.00, $-   ,2.00, $320.34 , $160.17 , $155.52 , $9.30 , -   
"TETRA TECH, INC. (XNAS:TTEK)",1-Jul-24,TTEK, $197.72 ,1.00, 1.00 , 197.72 ,2,396.82,0.00, $-   ,2.00, $426.52 , $213.26 , $198.41 , $29.70 , -   
XYLEM INC. (XNYS:XYL),2-Jul-24,XYL, $131.83 ,1.00, 1.00 , 131.83 ,1,131.83,0.00, $-   ,1.00, $136.62 , $136.62 , $131.83 , $4.79 , -   
"TETRA TECH, INC. (XNAS:TTEK)",2-Jul-24,TTEK, $199.10 ,1.00, 1.00 , 199.10 ,2,396.82,0.00, $-   ,2.00, $426.52 , $213.26 , $198.41 , $29.70 , -   
