Importing file: temp_Stock Trades.csv
Detected Stock Trades.csv format - Clearing existing trades
Columns: ['Assets', 'Date', 'Ticker', ' Price ', 'Number of stocks', ' Bought ', ' Bought Amount ', 'Total number bought', 'Total Amount bought', 'Sold', 'Sold Amount', 'Total Sold number of stocks', 'Total sold amount', 'Average sell price', ' Average buy price ', ' Realized Profit ', ' Current Amount ']
Added Buy EOG 1.0
Added Buy XOM 16.0
Added Buy SWN 250.18
Added Sell SWN 150.0
Added Buy SHLS 50.0
Added Sell SHLS 50.0
Added Buy SHLS 20.0
Added Buy GME 40.0
Added Sell GME 40.0
Added Buy CLS 10.0
Added Sell CLS 10.0
Added Buy BNTX 5.0
Added Sell BNTX 5.0
Added Buy CVAC 100.0
Added Sell CVAC 100.0
Added Buy DXPE 2.0
Added Buy ASPI 619.0
Added Buy ESLT 1.0
Added Buy AXON 1.0
Added Buy AMR 1.0
Added Buy APOG 2.0
Added Buy NUE 2.0
Added Buy TTEK 1.0
Added Buy XYL 1.0
Added Buy TTEK 1.0
Added Buy PYPL 80.0
Added Sell PYPL 40.0
Added Buy ACM 1.0
Added Buy BLBD 5.0
Added Buy ATMU 4.0
Added Buy WTRG 5.0
Added Buy J 2.0
Added Buy MRVL 7.0
Added Buy AMKR 5.0
Added Buy TELL 800.0
Added Buy DBA 10.0
Added Buy GEO 30.0
Added Buy PLTR 10.0
Added Buy QCOM 1.0
Added Buy CRDO 30.0
Added Buy TUA 88.0
Added Buy ZWS 1.0
Added Buy NWPX 20.0
Added Buy BMI 1.0
Added Buy ITRI 4.0
Added Buy CECO 11.0
Added Buy XOM 5.0
Added Buy RTX 4.0
Added Buy MOS 15.0
Added Buy FLR 16.0
Added Buy MPC 5.0
Added Buy VKTX 7.0
Added Buy SBOW 40.03
Added Buy MU 1.0
Added Buy PBF 20.0
Added Buy PAGS 30.0
Added Buy QCOM 1.0
Added Buy INTC 100.74
Added Buy BIL 30.0
Added Buy XLF 5.0
Added Buy XLU 2.0
Added Buy VAL 14.0
Added Buy AAP 16.0
Added Buy HAL 15.0
Added Buy LULU 1.0
Added Buy APA 36.25
Added Buy SLV 2.0
Added Buy ARKF 4.0
Added Buy TSM 2.0
Added Buy AMLP 5.0
Added Buy O 15.0
Added Buy BIDU 3.0
Added Buy MAG 2.0
Added Buy J 2.0
Added Buy RXRX 35.0
Added Buy RIO 14.0
Added Buy TM 3.0
Added Buy KMTUY 34.0
Added Buy CVS 39.0
Added Buy URA 14.0
Added Buy CORZ 44.0
Added Buy ULH 5.0
Added Buy NRG 8.0
Added Buy REPX 20.0
Added Buy EQT 20.0
Added Buy AZZ 10.0
Added Buy QS 20.0
Added Buy PRIM 16.0
Added Buy TPICQ 22.0
Added Buy SQM 4.0
Added Buy ENR 20.0
Added Buy JCI 1.0
Added Buy NXT 15.0
Added Buy GEV 1.0
Added Buy RYCEY 3.0
Added Buy SDIG 300.0
Added Buy IREN 18.0
Added Buy VST 3.0
Added Buy LNN 5.0
Added Buy SNV 10.0
Added Buy TUA 100.0
Added Buy IWM 1.0
Added Buy SMR 5.0
Added Sell TUA 38.0
Added Buy OUST 20.0
Added Buy HOOD 2.0
Added Buy BIL 5.0
Added Buy APLD 20.0
Added Buy APLD 70.0
Added Buy APLD 110.0
Added Buy TUA 50.0
Added Buy TUA 22.0
Added Buy ON 4.0
Added Buy AEHR 45.0
Added Buy ACLS 3.0
Added Sell BIL 10.0
Added Buy BIL 11.0
Added Sell GEO 5.0
Added Sell O 1.0
Added Sell ASPI 319.0
Added Sell PYPL 20.0
Added Sell TELL 400.0
Added Sell CVS 19.0
Added Sell BIL 10.0
Added Buy HOOD 2.0
Added Sell SBOW 15.0
Added Buy MU 3.0
Added Buy MU 1.0
Added Sell TUA 60.0
Added Buy EMXC 14.0
Added Buy BIL 30.0
Added Sell BIL 13.0
Added Sell TUA 30.0
Added Sell TUA 5.0
Added Sell TUA 7.0
Added Sell TUA 5.0
Added Buy LULU 1.0
Added Buy HOOD 30.0
Added Sell BIL 7.0
Added Buy BIL 7.0
Added Buy JXN 1.0
Added Sell GEO 25.0
Added Sell SNV 10.0
Added Buy XLE 22.0
Added Buy SMR 3.0
Added Buy TSM 7.0
Added Buy SLV 3.0
Added Buy SBOW 12.0
Added Buy PBF 15.0
Added Buy XLF 3.0
Added Buy APA 1.04
Added Buy FNV 2.0
Added Buy AG 37.0
Added Buy TM 4.0
Added Buy MPC 4.0
Added Buy CVS 5.0
Added Buy PAGS 30.0
Added Buy LNG 2.0
Added Buy BABA 4.0
Added Buy APEI 30.0
Added Buy TKNO 80.0
Added Sell PYPL 20.0
Added Buy PRGS 8.0
Added Buy TER 3.0
Added Sell PRGS 8.0
Added Buy TER 3.0
Added Buy MPC 5.0
Added Buy LULU 2.0
Added Buy LULU 4.0
Added Buy COIN 1.0
Added Buy APLD 80.0
Added Buy IREN 30.0
Added Buy SDIG 100.0
Added Buy CORZ 20.0
Added Buy BIL 6.0
Added Buy PYPL 5.0
Added Sell BIL 15.0
Added Sell AXON 1.0
Added Sell APOG 2.0
Added Sell ESLT 1.0
Added Sell AMR 1.0
Added Sell NUE 2.0
Added Sell NWPX 20.0
Added Sell J 4.0
Added Sell ITRI 4.0
Added Sell TTEK 2.0
Added Sell CECO 11.0
Added Sell BMI 1.0
Added Sell XYL 1.0
Added Sell ATMU 4.0
Added Sell ACM 1.0
Added Sell ZWS 1.0
Added Buy FORM 6.0
Added Buy CCJ 10.0
Added Buy VST 5.0
Added Buy BIL 20.0
Added Buy TSM 2.0
Added Buy QCOM 5.0
Added Buy BIL 30.0
Added Buy VRT 2.0
Added Sell BIL 11.0
Added Buy VRT 12.0
Added Buy PYPL 8.0
Added Buy VRT 1.0
Added Sell EOG 1.0
Added Sell TELL 400.0
Added Sell BIL 8.0
Added Sell BIL 11.0
Added Buy NVDA 2.0
Added Sell XOM 11.0
Added Sell HOOD 17.0
Added Buy BIL 25.0
Added Buy TSM 6.0
Added Buy MU 1.0
Added Sell TUA 115.0
Added Buy MU 3.0
Added Buy MU 2.0
Added Buy BIL 17.0
Added Sell INTC 50.0
Added Buy AMZN 5.0
Added Buy AXON 1.0
Added Sell LULU 3.0
Added Buy AXON 3.0
Added Sell BIL 2.0
Added Sell AAP 8.0
Added Sell AAP 8.0
Added Sell RTX 2.0
Added Buy SVIX 9.0
Added Sell SBOW 37.03
Added Buy PNTG 4.0
Added Buy BIL 4.0
Added Buy APEI 25.0
Added Sell BIL 3.0
Added Buy OKTA 1.0
Added Sell BIL 10.0
Added Buy ENTG 8.0
Added Buy SOUN 20.0
Added Sell BIL 19.0
Added Buy CVS 30.0
Added Sell AXON 1.0
Added Buy RIO 6.0
Added Sell BIL 10.0
Added Buy BKD 40.0
Added Buy OHI 8.0
Added Buy INNV 50.0
Added Sell BIL 6.0
Added Buy ACLS 4.0
Added Buy APP 1.0
Added Buy BABA 9.0
Added Buy ON 1.0
Added Sell BIL 10.0
Added Buy ON 8.0
Added Buy BABA 1.0
Added Sell INTC 50.74
Added Buy HOOD 24.0
Added Sell MU 6.0
Added Sell TSM 3.0
Added Buy TSM 7.0
Added Buy BIL 12.0
Added Buy KNTK 10.0
Added Buy ESOA 40.0
Added Buy ARQ 60.0
Added Buy ARIS 30.0
Added Buy WTTR 25.0
Added Sell BIL 3.0
Added Sell BIL 9.0
Added Buy ESOA 30.0
Added Buy LULU 12.0
Added Buy KNTK 60.0
Added Buy PYPL 32.0
Added Buy ARIS 4.0
Added Sell BIL 4.0
Added Buy TKNO 30.0
Added Sell EQT 20.0
Added Sell HAL 15.0
Added Sell SWN 100.18
Added Sell XOM 10.0
Added Buy TKNO 100.0
Added Buy LAB 600.0
Added Buy BSX 5.0
Added Buy INSP 3.0
Added Buy CVRX 50.0
Added Buy STIM 20.0
Added Sell XLF 5.0
Added Sell XLF 3.0
Added Buy STIM 180.0
Added Buy STIM 180.0
Added Buy RXRX 35.0
Added Buy STIM 200.0
Added Sell SVIX 9.0
Added Buy GRAL 15.0
Added Sell MAG 2.0
Added Sell TSM 7.0
Added Buy MRK 5.0
Added Buy GRAL 15.0
Added Buy CSTL 14.0
Added Sell FNV 2.0
Added Sell PBF 15.0
Added Buy CVRX 30.0
Added Buy CSTL 5.0
Added Buy BSX 5.0
Added Buy PPTA 7.0
Added Sell BIL 16.0
Added Buy QDEL 6.0
Added Buy ILMN 3.0
Added Buy MDT 4.0
Added Buy IRTC 3.0
Added Buy DXCM 3.0
Added Buy PPTA 3.0
Added Sell BIL 4.0
Added Buy SBSW 80.0
Added Sell PYPL 5.0
Added Sell BIL 8.0
Added Sell KMTUY 34.0
Added Buy TSLA 1.0
Added Sell SDIG 400.0
Added Buy BIL 22.0
Added Sell CRDO 10.0
Added Sell TKNO 20.0
Added Buy PLOW 20.0
Added Buy BIL 17.0
Added Buy MU 1.0
Added Buy MU 4.0
Added Sell BIL 4.0
Added Buy ALGM 25.0
Added Buy BIL 14.0
Added Sell MPC 10.0
Added Sell APA 37.29
Added Buy MRVL 37.0
Added Buy PDD 5.0
Added Buy TSM 4.0
Added Buy OUST 49.0
Added Buy PTON 60.0
Added Sell MRVL 7.0
Added Sell LULU 2.0
Added Buy ATEC 78.0
Added Buy INTC 2.0
Added Sell INSP 3.0
Added Sell BKD 40.0
Added Sell INNV 50.0
Added Sell OHI 8.0
Added Sell PNTG 4.0
Added Sell OKTA 1.0
Added Sell TSM 5.0
Added Sell MRVL 7.0
Added Sell AMZN 3.0
Added Sell MU 4.0
Added Buy APH 3.0
Added Buy CALX 6.0
Added Buy CIEN 3.0
Added Buy ERIC 60.0
Added Buy CCOI 5.0
